CpGmarker,chr:coord_hg19,RNA_seq_ENCFF754LBN,RNA_seq_ENCFF398HDS
cg12696750,chr1:38022466,,
cg12701576,chr1:160254608,0.08544309251474919,
cg12711814,chr1:8939529,0.003182561900697587,0.007277633125491485
cg12729048,chr1:151513198,,0.08076029876595424
cg12732155,chr1:31230601,4.235218540668163,0.03590894259408319
cg12739034,chr1:71513626,0.005878858349060631,
cg12792157,chr1:39339004,0.033479999568515335,0.011311151611807055
cg12806381,chr1:27114177,0.027222168075315162,0.11360329202843128
cg12820481,chr1:211848760,0.020116762612068843,
cg12832565,chr1:145715672,0.062281030735490635,
cg12858514,chr1:17575607,,
cg12864581,chr1:31660916,,
cg12869058,chr1:94587872,0.005549999885261059,
cg12880200,chr1:36863738,,
cg12884406,chr1:103573989,,
cg12955127,chr1:111990884,0.1208925948680339,
cg12958813,chr1:198509669,,
cg12962021,chr1:226497619,,
cg12970084,chr1:201977080,,0.016364529382901945
cg12986021,chr1:68516627,,
cg12994003,chr1:225616475,0.009840645226499727,0.03229257280367676
cg12995941,chr1:156829377,,
cg12999103,chr1:17337842,0.011425692198368219,0.005536237509118965
cg13019092,chr1:145727720,,0.005549999885261059
cg13044223,chr1:45240849,0.01632888881671509,
cg13066963,chr1:6485317,,
cg13149996,chr1:21437982,0.17089246980790188,
cg13164309,chr1:20898017,,
cg13170032,chr1:221052143,0.05199887739619858,0.016006095275016768
cg13191808,chr1:55505327,,
cg13199589,chr1:42845990,0.005536237509118965,
cg13216303,chr1:153643044,0.08765566118637523,
cg13221588,chr1:117603102,0.02663758242178149,0.1941150131663238
cg13228642,chr1:181057360,0.06647271830170529,0.013803890376163652
cg13233799,chr1:43996745,,
cg13262752,chr1:54355695,0.01180040805567322,0.0027699999045580626
cg13263483,chr1:35247084,,
cg13282594,chr1:156211609,0.014491021363659108,0.028299077184048674
cg13298382,chr1:161087635,0.13542907756109934,0.013389528055511447
cg13311440,chr1:160681404,6.060011736435486,0.03984802968316988
cg13319175,chr1:19746564,0.07849259333606075,
cg13342625,chr1:43638094,0.08038030259988525,
cg13372488,chr1:196577387,,
cg13397379,chr1:247696628,,
cg13446852,chr1:65886635,0.00787866659462452,0.18974471266876136
cg13447818,chr1:152298884,,
cg13461509,chr1:53387576,0.09835453265036145,
cg13461622,chr1:25291385,0.045981071975332986,
cg13463167,chr1:197523608,0.03659534923261612,
cg13482485,chr1:99127787,,
cg13488557,chr1:25574588,0.0416047128354039,0.017590279905841902
cg13501117,chr1:3566577,0.09976580037629344,
cg13502356,chr1:40723396,0.1620756360026369,0.008320000022649765
cg13507429,chr1:18807550,,
cg13547644,chr1:229569608,0.006028925142660041,0.008320000022649765
cg13559495,chr1:95538467,0.05321727267443395,0.0027699999045580626
cg13587552,chr1:1216441,,0.025787905162836695
cg13589108,chr1:177140680,,
cg13614083,chr1:6085872,0.048215735366944214,0.01140158139089616
cg13619408,chr1:109756118,0.006958853413356812,
cg13626881,chr1:203059178,,
cg13631913,chr1:9600345,,0.03863713178700045
cg13645078,chr1:201438647,0.01940999925136566,
cg13650137,chr1:197115405,0.013138980382834287,
cg13666729,chr1:32930473,,
cg13693652,chr1:86888629,0.010957305542678533,
cg13697387,chr1:152670843,,
cg13704271,chr1:32666264,0.010490872797340229,0.044973514188922724
cg13730534,chr1:41157553,0.38744214438180674,0.15129398974471556
cg13735974,chr1:41156980,0.21526339185654075,0.010627445881758934
cg13765621,chr1:158149228,,0.003548794225393299
cg13769204,chr1:230203611,,0.1413630923056543
cg13804316,chr1:28286884,0.0027699999045580626,0.33111207315816626
cg13836770,chr1:12226913,0.024187861191522744,2.2736158683706242
cg13843613,chr1:177140126,,
cg13853198,chr1:161185092,0.021693416194121663,0.9204935384333653
cg13878641,chr1:110090951,0.1983194632464469,
cg13908518,chr1:104096517,,0.20372802922107336
cg13912204,chr1:169455529,,0.021468997337180832
cg13945069,chr1:200638500,0.028666334073442473,0.005549999885261059
cg13958304,chr1:114354463,1.1966146856843682,
cg13968061,chr1:159557257,,
cg13980834,chr1:24727850,0.02174467599461619,
cg13984181,chr1:92495720,0.005533837094675576,
cg13986130,chr1:186649330,2.8909013130123777,
cg13997435,chr1:153538406,0.027507524418641575,0.12894606986893944
cg13998293,chr1:26394435,,
cg14017991,chr1:26560780,0.008320000022649765,0.10562887780386908
cg14036856,chr1:43751563,,
cg14047008,chr1:173887011,0.0027699999045580626,
cg14085328,chr1:200639502,,0.012808578654408381
cg14106085,chr1:47902269,0.026091113813167106,
cg14159672,chr1:205819179,0.008150854318791149,
cg14171523,chr1:156163644,0.04471103631800449,
cg14175580,chr1:200709051,0.010792068057739532,0.03338661540027072
cg14186992,chr1:6639570,0.015604661657407246,
cg14188111,chr1:153608034,,0.057551471467717476
cg14195915,chr1:29507864,1.019332393000548,0.006769466586411
cg14198172,chr1:110950618,,0.029744039696090834
cg14206730,chr1:67519677,0.43389481136998037,0.02033845363811885
cg14211646,chr1:26758996,0.008320000022649765,0.03223781218879263
cg14213620,chr1:3773909,0.24993633007324195,0.08034832092391243
cg14249872,chr1:233749672,,0.008320000022649765
cg14254380,chr1:85527879,0.010567358624682112,
cg14254419,chr1:110162217,0.012499195754050684,0.024290370056405663
cg14256814,chr1:166808417,0.010277849831618368,0.008002604173573976
cg14261309,chr1:53164287,,0.0229390945361413
cg14265075,chr1:157016521,0.002898307595975124,0.005549999885261059
cg14269514,chr1:151736130,0.22845954542810268,0.015396601813624828
cg14271400,chr1:23036980,,
cg14277848,chr1:156570825,0.05677017407895918,0.023887282298781665
cg14287742,chr1:169335773,,
cg14303330,chr1:6259905,0.008128019815107973,
cg14308291,chr1:36396265,0.07856199501588607,0.02482062330855024
cg14313310,chr1:184006816,0.022354415988993976,0.005549999885261059
cg14321743,chr1:20445662,,0.013844495323067958
cg14322224,chr1:85931226,0.005533151400529525,
cg14324200,chr1:861317,,
cg14333454,chr1:27189298,0.005549999885261059,0.026320074424797908
cg14356550,chr1:18808102,,
cg14367344,chr1:146644336,0.025403343227713607,0.12668850280790406
cg14378480,chr1:84864188,,
cg14385738,chr1:114414340,0.5398410740462402,0.019249012871449322
cg14407437,chr1:31845923,0.0120693584953878,
cg14407667,chr1:51985209,0.005522475132976871,0.005434701948531515
cg14448116,chr1:161170110,0.008306287150682495,
cg14453641,chr1:100315326,0.022550355411031918,
cg14460735,chr1:246728727,0.043347331679001115,0.008320000022649765
cg14467840,chr1:153600972,0.008320000022649765,
cg14472778,chr1:11867308,,0.06429501219729236
cg14474880,chr1:93544497,0.025286952588161642,
cg14500718,chr1:156251456,0.047869226697860215,
cg14506552,chr1:11918954,,0.005549999885261059
cg14514226,chr1:205197651,,0.020030595240227524
cg14540297,chr1:87597473,,0.008320000022649765
cg14541950,chr1:228645704,0.16847061695166163,0.7082674722477306
cg14545899,chr1:118149019,0.02659875289623475,1.9767349660396576
cg14550101,chr1:155247361,,0.012526977454668504
cg14560895,chr1:202777719,0.574562743025939,0.0027699999045580626
cg14566624,chr1:6321582,,
cg14576824,chr1:213224402,0.005549999885261059,
cg14605134,chr1:155036362,0.0027699999045580626,0.027564642688126435
cg14607642,chr1:225617030,0.008320000022649765,0.005549999885261059
cg14607813,chr1:225965727,0.05627870265663859,0.5685360848652826
cg14645650,chr1:25228801,1.5777366561188069,
cg14659404,chr1:177134019,,0.005549999885261059
cg14667273,chr1:1369934,,
cg14676817,chr1:39457257,0.008320000022649765,1.4882344387453097
cg14696870,chr1:159258877,,
cg14701962,chr1:162348010,,
cg14717946,chr1:205090841,0.09960598524594842,0.005549999885261059
cg14718680,chr1:10459268,,0.057173440193136534
cg14721213,chr1:171154612,,
cg14732540,chr1:92414722,0.009212573102473864,0.008306016840664196
cg14766198,chr1:100818374,0.022371050499466607,2.69730419633989
cg14772955,chr1:36024404,,0.01803595064253822
cg14773259,chr1:184021034,0.005549999885261059,0.11599608514913151
cg14826683,chr1:153013830,,
cg14850026,chr1:62660191,,
cg14860494,chr1:94374966,0.06574019949019252,0.006801036292074219
cg14869028,chr1:32042161,,
cg14886269,chr1:1141927,0.03389635122579148,0.008320000022649765
cg14887509,chr1:27816781,0.5123520427513667,
cg14893161,chr1:205819251,0.007824601265573246,
cg14915165,chr1:118471929,0.06935281770622861,0.00633226859091378
cg14920846,chr1:201618209,,0.02060102836361953
cg14925024,chr1:228291705,0.003422230669261458,0.020767578585946467
cg14931645,chr1:249133278,,0.13212349107883814
cg14958889,chr1:6320471,,0.008265049526431036
cg14964658,chr1:160255030,0.25543706736397537,0.013461176415576655
cg14971781,chr1:226374753,,0.2217988284151453
cg14992253,chr1:32687567,0.07359411944078276,0.005549999885261059
cg15006973,chr1:35258933,,
cg15016234,chr1:33647028,0.13983508749421397,0.013136891862125816
cg15031780,chr1:10535585,,0.034723540742479804
cg15041659,chr1:22778527,,0.2756423709530888
cg15043057,chr1:41444788,0.013280129099288827,0.01940999925136566
cg15050111,chr1:24645850,,
cg15056107,chr1:229644037,0.5773211857354184,0.003090045988894484
cg15076218,chr1:46599002,0.0027699999045580626,0.0027699999045580626
cg15128849,chr1:70820718,0.012839403842261295,0.04952885213068819
cg15146752,chr1:16482767,,
cg15147516,chr1:226411868,,
cg15156836,chr1:26126415,,0.015350757306563247
cg15160742,chr1:244817222,0.012093217743763535,0.1691568074864045
cg15166089,chr1:27710030,,
cg15173196,chr1:202311278,0.019360089347370574,0.011090000160038471
cg15185794,chr1:17446087,0.12557771752345498,
cg15187606,chr1:47656853,,
cg15188491,chr1:146644106,0.07608675747875245,0.1103558252210316
cg15201877,chr1:71512973,0.007831389694553563,
cg15210596,chr1:246887325,,
cg15226751,chr1:10001911,0.030379002084700096,
cg15235185,chr1:193028809,0.01932305966471601,0.7294283277794087
cg15250507,chr1:200860365,,
cg15262928,chr1:201924572,,0.19086598486385561
cg15272684,chr1:36024473,,0.017964851845883662
cg15280964,chr1:235324133,1.1670854657219532,0.01300674417352145
cg15304928,chr1:201123562,0.04360859438374236,
cg15305343,chr1:46806357,0.1799662345811316,0.04974956317458688
cg15315630,chr1:35497506,0.10873572436544383,
cg15319451,chr1:15480748,,0.018041994826208586
cg15329642,chr1:45308298,0.0027699999045580626,
cg15341760,chr1:6297890,0.0027699999045580626,
cg15361231,chr1:193075191,,0.005798370974576648
cg15364303,chr1:64239391,0.0027699999045580626,
cg15364537,chr1:205538310,,
cg15368822,chr1:226070397,0.010796061863504264,0.013836070006353814
cg15371509,chr1:153700650,,0.355751413466854
cg15379237,chr1:44445539,,0.0027699999045580626
cg15384717,chr1:150294084,0.0027699999045580626,0.1254461782853301
cg15415507,chr1:16482553,0.029543467357417745,
cg15422784,chr1:90023713,0.012230400033295154,0.5697113945522808
cg15445332,chr1:47069792,0.055981039507485446,
cg15452426,chr1:10532230,0.03410137132590548,
cg15459773,chr1:231472445,1.0927836383667373,
cg15462232,chr1:63788184,,
cg15470750,chr1:155278344,0.03643925762104936,0.011090000160038471
cg15485859,chr1:207206447,0.010533056255756084,0.01662628717333226
cg15500658,chr1:16174610,0.025666082053355976,0.4263430928156486
cg15503799,chr1:156737481,0.017243581305106604,0.5213715502251065
cg15514848,chr1:171217555,,
cg15538837,chr1:226250361,0.005549999885261059,0.5216271691295037
cg15547662,chr1:26324823,,
cg15554401,chr1:35226891,,0.005549999885261059
cg15589354,chr1:229760606,0.03127271807206762,
cg15590780,chr1:216596639,,
cg15611923,chr1:145507416,0.13895458973501426,0.011930799929854961
cg15612546,chr1:213224612,0.005549999885261059,0.1575414822280906
cg15616400,chr1:16062894,,0.04407204425617346
cg15654964,chr1:32860685,,0.07369236921208755
cg15662251,chr1:26197855,0.011856086768101955,
cg15676084,chr1:225841605,,0.008320000022649765
cg15683488,chr1:52607471,,
cg15691841,chr1:151255071,0.006711284661529741,0.21447513707706756
cg15700197,chr1:159409207,,
cg15731815,chr1:6269260,,0.012289010570795924
cg15740508,chr1:115238559,,
cg15746187,chr1:11713123,,
cg15750705,chr1:35226707,,0.005549999885261059
cg15753381,chr1:109618580,0.2115722540227664,0.056269541041541644
cg15756091,chr1:182419655,,0.008320000022649765
cg15770654,chr1:12078821,0.005549999885261059,0.003111803180874005
cg15775914,chr1:241799084,0.3534861862139214,
cg15778350,chr1:163291775,0.011090000160038471,0.015236217967377832
cg15781625,chr1:165796654,0.0027699999045580626,0.029810475739872173
cg15789095,chr1:32281466,,
cg15804118,chr1:155112702,0.09209689488465476,0.01495697883765278
cg15827295,chr1:151138583,,0.18177340478228027
cg15863254,chr1:226374036,0.2800494273032928,0.09235942274711142
cg15883716,chr1:173638701,,
cg15945769,chr1:210502792,0.020281365038174105,0.031358427970037864
cg15949277,chr1:37939724,0.04917680794092132,
cg15952487,chr1:158300733,0.010871604023959468,
cg15952725,chr1:15783190,0.010019774378025275,
cg15965055,chr1:166945157,0.0027699999045580626,0.0027699999045580626
cg15965913,chr1:244816200,0.0027699999045580626,0.025494328269095562
cg15983538,chr1:156123411,0.0027699999045580626,0.021447431193920147
cg15990015,chr1:44679006,0.010589926931871115,0.054666560180307286
cg15991288,chr1:109584447,0.40629463934541643,
cg15997411,chr1:65352384,0.35883246919609363,0.003139493572879347
cg16013246,chr1:28832468,0.007928461475202288,1.1847091355895254
cg16019273,chr1:36273185,,0.03413785787646673
cg16028753,chr1:53527435,,
cg16028934,chr1:224034222,0.05547820825151281,0.4015225689310088
cg16051685,chr1:26394083,,
cg16062480,chr1:220219722,0.34802647709479756,
cg16068833,chr1:26644515,0.021249536269140855,2.019330720870715
cg16072030,chr1:204381148,0.14775348901965243,0.020605419626170365
cg16080552,chr1:59043199,,
cg16084788,chr1:9086146,,
cg16087263,chr1:20465218,0.0027699999045580626,
cg16116363,chr1:87170624,0.013218777799219997,0.430375212037058
cg16121444,chr1:169337314,,0.05689929705424652
cg16148270,chr1:68516465,,
cg16155382,chr1:24646191,,0.007838260868321295
cg16168311,chr1:156561947,0.02739518972090151,0.22924012447790965
cg16175792,chr1:120050104,,
cg16182127,chr1:100598516,0.02727580402482796,0.016157412586446426
cg16228804,chr1:89150099,0.005549999885261059,0.31190286888543545
cg16235860,chr1:62902122,0.00911956243799068,0.017216607628804847
cg16240480,chr1:236557473,0.01940999925136566,0.003308565317523442
cg16257086,chr1:207925400,0.036018823350177094,0.5874717889298031
cg16280922,chr1:185125973,0.1307659440577706,0.025885885280610393
cg16299341,chr1:52082824,,0.8816872067078192
cg16307860,chr1:222886951,,0.22081638360744402
cg16340268,chr1:226925172,4.305891539353385,0.03637528617081332
cg16341373,chr1:38157962,0.0031835536206956984,
cg16343696,chr1:32574126,0.005549999885261059,0.14033236924995507
cg16345880,chr1:109756737,0.015966198330566492,0.6929687312119025
cg16352283,chr1:27338978,0.014660891085531157,0.010090618732474035
cg16379513,chr1:32827150,0.0342867630331679,
cg16381752,chr1:179847085,0.17931253412657236,
cg16394138,chr1:180601363,0.0027699999045580626,0.5783005993711087
cg16404689,chr1:169764273,,0.022886419046556326
cg16414945,chr1:161719333,0.024527765183686722,
cg16417937,chr1:27248012,0.019291645603072716,0.008320000022649765
cg16443152,chr1:200708104,,0.017509126152638287
cg16478792,chr1:182458262,,
cg16479674,chr1:249131947,0.0217945367579881,
cg16486059,chr1:26186256,0.03035563723677957,0.11520144629508182
cg16501235,chr1:150245988,,0.008729931232840594
cg16505550,chr1:57045708,,0.00890938054143855
cg16505687,chr1:236305169,,0.0028614472723443455
cg16516400,chr1:231177201,0.0075566141580150825,
cg16517394,chr1:173176362,0.016562600281089544,
cg16525692,chr1:146715099,,0.007625915466899603
cg16529592,chr1:25292215,0.00795374189188043,0.012972249162573038
cg16530429,chr1:26737470,,
cg16540768,chr1:95582647,0.0027699999045580626,
cg16557944,chr1:53068197,,0.1193353766440089
cg16570917,chr1:43996062,,0.0027699999045580626
cg16598810,chr1:68962176,,
cg16604136,chr1:163291493,0.062438235469475516,0.008320000022649765
cg16604218,chr1:45452605,,
cg16607065,chr1:3607222,,
cg16608348,chr1:214724481,,0.010335641021593513
cg16608652,chr1:193155390,0.01847107238902657,0.15138341709414027
cg16613192,chr1:45477977,,0.05250684939744463
cg16616325,chr1:231664276,0.010565571438166357,0.13827040871844914
cg16639185,chr1:206786178,,
cg16648841,chr1:57320685,,
cg16658719,chr1:218518963,,0.012895967130100838
cg16666456,chr1:70671441,0.047836111289345555,0.189115867672607
cg16685388,chr1:42384056,0.04802274314960711,0.0052885653407859145
cg16689634,chr1:47489539,,
cg16705481,chr1:36615026,0.20778190948402703,
cg16713727,chr1:16062720,,0.04905817877882139
cg16713808,chr1:152388040,,
cg16725097,chr1:43637592,0.05838828787470803,
cg16725865,chr1:92546135,0.009568392917572055,0.027406433645979573
cg16728114,chr1:156697793,0.43025710606515555,
cg16741710,chr1:3569386,,
cg16743289,chr1:174968144,0.6868970316841715,0.035432440328544805
cg16752778,chr1:77685229,0.42121099965879694,0.009384042323824573
cg16762386,chr1:27240514,,0.01106257441610393
cg16769442,chr1:113934059,0.0027699999045580626,0.04201229405066839
cg16773028,chr1:111148339,0.019221465296015657,
cg16796590,chr1:40420668,0.013445131388786984,0.08887707496561655
cg16797831,chr1:109657035,,0.03023644211147272
cg16817034,chr1:28995195,0.010989151672093253,0.09491742275578459
cg16825000,chr1:20249430,,
cg16833230,chr1:94344337,0.08820207015683229,0.02179076411510722
cg16834431,chr1:28562368,0.010283227774161326,
cg16853982,chr1:236849389,,
cg16855929,chr1:231561414,,
cg16858125,chr1:43834757,,0.0027699999045580626
cg16864895,chr1:212208516,0.020934516263584935,0.005549999885261059
cg16891895,chr1:182573455,0.05466740346665299,
cg16893614,chr1:110614450,,0.005549999885261059
cg16907488,chr1:46090169,0.04617703210172287,
cg16918585,chr1:39492570,0.011073706041583243,0.20374880485849786
cg16959606,chr1:169074934,,
cg16962970,chr1:178062686,0.005472777663574864,
cg17002259,chr1:151032260,0.10261595130182648,0.06506890258252472
cg17004373,chr1:38061737,,0.02055567712973683
cg17031727,chr1:230777875,0.007716739036487011,
cg17034109,chr1:110036417,0.0174628701535295,0.012461820368514958
cg17038116,chr1:155533405,0.009692688483551566,0.38231758137890826
cg17051623,chr1:23810250,0.009232886680449868,
cg17063018,chr1:224302019,0.00768076922171391,0.5804373071322269
cg17067005,chr1:206945346,0.0168716269533035,0.04815255690482445
cg17078393,chr1:32717002,0.006037891053651668,0.6894212742510282
cg17095731,chr1:53794313,,0.008320000022649765
cg17095936,chr1:168250628,,0.006732029773628534
cg17096191,chr1:162039224,0.008004603967402536,
cg17124700,chr1:182642748,,
cg17130791,chr1:40562564,0.04920081803313149,
cg17145806,chr1:6295537,0.012304480531416487,
cg17154022,chr1:26798964,0.007902325542513714,1.6031261830994825
cg17155167,chr1:155881046,0.984701948848934,
cg17166812,chr1:161169574,0.0027699999045580626,0.0027699999045580626
cg17189494,chr1:11740665,0.11676654266792216,
cg17236617,chr1:6454202,,0.04188750596238565
cg17237813,chr1:84465688,,
cg17241013,chr1:211849158,0.01221649626688012,
cg17241310,chr1:91182856,,
cg17250929,chr1:153513810,0.005549999885261059,
cg17253459,chr1:114522670,,0.09246947667433734
cg17281600,chr1:157568591,,
cg17319849,chr1:155214564,0.0191198483702134,0.007566397044095485
cg17330200,chr1:43282561,0.02058597112654884,0.0031193006047783617
cg17339202,chr1:33160900,0.022107426556620267,0.005549999885261059
cg17350448,chr1:11796297,0.03323668353259564,0.34118129076133
cg17385448,chr1:15911702,0.008604102600843478,0.00753995591963309
cg17385674,chr1:27021704,0.02616865308595324,0.008304696154487397
cg17393296,chr1:59762829,,0.03462044962019063
cg17398283,chr1:100597416,0.015017959327265924,
cg17417054,chr1:36235406,0.012648677661214486,0.02490075294897981
cg17417191,chr1:218458683,0.005126380840582507,0.3941109042974963
cg17425224,chr1:8021250,0.1254294016804927,0.01242608496958905
cg17455591,chr1:87379840,0.47949032342622,0.010960274315637923
cg17460386,chr1:207095668,0.08873453948117253,0.11073326707778132
cg17461214,chr1:241799063,0.35650144792405747,
cg17496788,chr1:162601807,,0.02356255820107668
cg17502536,chr1:17531015,,
cg17520176,chr1:35734836,0.004568823421483531,0.08172422528983982
cg17525406,chr1:4715520,,0.011090000160038471
cg17533684,chr1:46597933,0.007285379324557966,
cg17539235,chr1:204166900,,
cg17542385,chr1:152681979,,
cg17558126,chr1:206680250,0.010723047327669061,0.012314191408745364
cg17572572,chr1:27216739,0.296874712585957,0.010701132006943226
cg17572791,chr1:154245185,,0.39730352699860105
cg17582777,chr1:155050100,,
cg17593391,chr1:39325911,0.005549999885261059,0.021684362624294358
cg17608500,chr1:154955711,,0.1660915681334468
cg17653969,chr1:229439834,,0.24867259307841114
cg17657618,chr1:15427654,,
cg17661881,chr1:226595978,0.02612322580910498,
cg17696091,chr1:115396629,,
cg17703324,chr1:203462465,0.008268703723809234,
cg17718515,chr1:201798817,,0.013117719179411468
cg17720233,chr1:151128310,0.008320000022649765,
cg17727529,chr1:156399685,,
cg17729941,chr1:153607617,,0.047261221431883195
cg17733100,chr1:200860363,,
cg17736259,chr1:53925145,,
cg17780098,chr1:201476311,0.11145429957658053,0.05691968776518479
cg17791651,chr1:38513489,,
cg17801256,chr1:35734334,0.010742278510256659,0.08046830427671103
cg17803430,chr1:207278324,,
cg17803965,chr1:32281812,,0.0027699999045580626
cg17819635,chr1:67217673,0.004795749947661534,
cg17860158,chr1:205012569,,
cg17870792,chr1:82266841,,
cg17891149,chr1:154948248,0.0027699999045580626,0.011414332470741658
cg17897879,chr1:12123437,,
cg17918089,chr1:150899251,,0.04033177026182859
cg17918239,chr1:200379718,,0.013769746474392221
cg17921310,chr1:156024283,0.021059172564095126,0.009766254064411605
cg17938146,chr1:145523592,0.008320000022649765,0.054952241285054264
cg17940013,chr1:9188688,0.03958915526996435,
cg17942553,chr1:150850380,,0.0032348043555862076
cg17945001,chr1:18434118,,
cg17948627,chr1:36107295,0.13500999952993242,0.005549999885261059
cg17969298,chr1:213189164,0.2297391970211782,
cg17979628,chr1:212606106,0.0027699999045580626,0.02738781293737702
cg17980508,chr1:79085713,,0.008292574278715223
cg17983307,chr1:201181402,,
cg17990871,chr1:1677678,0.015953674953588855,0.018597142714404595
cg17992056,chr1:6296335,,
cg17993772,chr1:160313241,0.028654914111686275,0.25618606149192963
cg18014844,chr1:55230402,0.005549999885261059,
cg18023080,chr1:11107384,0.01230945583230176,
cg18031008,chr1:150266311,,0.43523275889135127
cg18036707,chr1:235530995,0.011090000160038471,0.026634603805637154
cg18058949,chr1:229644400,0.01940999925136566,0.018458196739895176
cg18060199,chr1:94146495,0.0631192021926591,
cg18063149,chr1:171060071,,
cg18081104,chr1:151826123,,0.007042326491174041
cg18084114,chr1:31197218,0.004360254130807658,0.04875543632514385
cg18084791,chr1:159797320,,0.0027699999045580626
cg18087477,chr1:115397597,,
cg18105315,chr1:38260283,0.0027699999045580626,0.004708634857975302
cg18107827,chr1:26488988,,
cg18117393,chr1:182761262,,0.058024089219062554
cg18119609,chr1:204485302,0.0933941449834352,0.006434691308158232
cg18149207,chr1:151805634,,
cg18177682,chr1:160175593,0.024789164000014113,0.0693910226151533
cg18182038,chr1:32859921,0.4773500365928149,
cg18184219,chr1:243388524,0.6313506208285875,
cg18202456,chr1:44584930,,
cg18212039,chr1:26346812,,
cg18220284,chr1:229762532,,0.008301967179372174
cg18224761,chr1:19576921,0.019411246533827666,
cg18231267,chr1:25229099,1.127769849952914,0.0027699999045580626
cg18242139,chr1:50574837,,
cg18263686,chr1:217804728,0.005549999885261059,0.010921755674088957
cg18273566,chr1:23695031,0.011908680731628804,
cg18275051,chr1:202937114,,
cg18299211,chr1:77685015,0.18316190439548824,0.005389615270989732
cg18325289,chr1:22109947,0.03741623781295044,0.5553545412094218
cg18330203,chr1:201346647,,0.010692326872987618
cg18333690,chr1:17634716,,0.15744681475916877
cg18354264,chr1:226411008,,0.0027699999045580626
cg18354594,chr1:247276647,,
cg18384097,chr1:202129566,0.2311003478429747,0.012508455542628093
cg18388972,chr1:156308174,1.0444405694439445,0.0027699999045580626
cg18389062,chr1:117909089,0.03884583529075631,0.019934915784871627
cg18433086,chr1:179199613,0.011090000160038471,
cg18434152,chr1:110993524,,0.003439259159171747
cg18464559,chr1:63989278,0.011090000160038471,0.13421202040372643
cg18468844,chr1:28503720,0.0027699999045580626,0.005549999885261059
cg18486150,chr1:21044874,0.0027699999045580626,
cg18504532,chr1:174129335,0.005549999885261059,0.14827082244832618
cg18515587,chr1:151344806,,
cg18528640,chr1:155579964,0.0027699999045580626,0.005234686404208441
cg18552413,chr1:159174610,,
cg18565479,chr1:231762737,,0.11026376516249338
cg18565510,chr1:1238702,0.10652263489935328,
cg18596794,chr1:167689891,0.010892694024610397,
cg18634211,chr1:26737262,,
cg18641937,chr1:160924389,,
cg18660898,chr1:151030968,0.295415935373663,0.21845162080187452
cg18669381,chr1:16539088,,
cg18679190,chr1:17308781,,
cg18692273,chr1:201347483,,
cg18772361,chr1:184723253,0.19728249463803155,0.005549999885261059
cg18783781,chr1:9599067,,
cg18792584,chr1:179851234,0.2548898260046419,0.06678527518175542
cg18795395,chr1:68298565,,
cg18839416,chr1:12805849,,
cg18870231,chr1:60539135,,
cg18877506,chr1:13910555,,
cg18881723,chr1:160616870,0.2005429034746469,0.0286762305384219
cg18885999,chr1:47799311,0.024495037140190006,0.10291629559705379
cg18888403,chr1:24152774,,0.008320000022649765
cg18891404,chr1:37940488,0.004752260760363677,0.8555834166556968
cg18894878,chr1:166958221,,
cg18895413,chr1:19228616,0.004587725382846068,
cg18908499,chr1:247712237,,0.032530839479132614
cg18913171,chr1:159925416,,
cg18931421,chr1:19577814,0.1270050371153991,0.00427671745135129
cg18931815,chr1:36565772,0.003706420950689598,
cg18937321,chr1:44497024,,
cg18942631,chr1:116311341,,
cg18947521,chr1:226250437,0.005549999885261059,0.4683770647559672
cg18959422,chr1:203145364,,
cg18964732,chr1:165737775,0.10933581062655273,
cg18979762,chr1:231560395,,0.0027699999045580626
cg18983672,chr1:47881256,,
cg18992688,chr1:206223241,,
cg18993334,chr1:156307348,0.008483208545961761,
cg19019972,chr1:54665937,,0.7288625428180505
cg19025723,chr1:28562708,0.004221405516973281,0.38757752746830076
cg19028804,chr1:202976344,0.010186363566158848,0.19084853082256137
cg19038540,chr1:101701364,0.31087199466632787,0.0738869574811644
cg19044674,chr1:43232628,0.2922734282811039,
cg19046959,chr1:36565856,0.00375844434214135,
cg19101893,chr1:43283862,,0.02459816956418302
cg19109050,chr1:228396098,0.013790993967168727,
cg19114595,chr1:68515977,,
cg19120746,chr1:117664515,0.0027699999045580626,0.005522475132976871
cg19125606,chr1:230850299,,
cg19125999,chr1:27287282,,0.005549999885261059
cg19130550,chr1:161994277,0.005549999885261059,0.021259796816509132
cg19136075,chr1:19968885,0.0027699999045580626,
cg19148051,chr1:3713096,0.4221795535714981,
cg19155599,chr1:186649153,2.0170811005958593,
cg19157971,chr1:202858393,0.07388363189046394,0.03973830966672427
cg19180828,chr1:6265220,0.009990793756312795,
cg19196684,chr1:53608037,,
cg19216044,chr1:155005184,0.005505161175894882,0.0056555237000187235
cg19220586,chr1:167522470,0.5770556340992749,0.005549999885261059
cg19221369,chr1:109618856,0.005549999885261059,0.05620438855912471
cg19228118,chr1:34631324,0.0027699999045580626,
cg19250891,chr1:160121412,,
cg19259146,chr1:26856420,0.005549999885261059,0.05149054408635597
cg19304410,chr1:64971188,,
cg19324313,chr1:14032204,0.011090000160038471,0.32428162164075713
cg19337279,chr1:43804317,,0.056665999909981765
cg19350340,chr1:197115964,0.012538114936686441,
cg19370451,chr1:152386561,0.0027699999045580626,0.013856030059931565
cg19389852,chr1:145439013,0.11525337932700361,20.56206938148734
cg19399532,chr1:178512495,,0.010487590827318307
cg19400876,chr1:54411017,0.0027699999045580626,
