CpGmarker,chr,pos
cg01723464,chr4,6642120
cg01785568,chr4,4864833
cg01803059,chr4,146402404
cg01804429,chr4,69216077
cg01856970,chr4,142557562
cg01943185,chr4,56502116
cg02029926,chr4,74734874
cg02089348,chr4,1724449
cg02131853,chr4,39034637
cg02157306,chr4,141445059
cg02182354,chr4,113437522
cg02200584,chr4,157892546
cg02210887,chr4,156586680
cg02255004,chr4,80748660
cg02336128,chr4,71859030
cg02515725,chr4,186456935
cg02519806,chr4,119810036
cg02523617,chr4,39699380
cg02545106,chr4,186393269
cg02553486,chr4,47840095
cg02600394,chr4,48136234
cg02630888,chr4,15657820
cg02635407,chr4,8200549
cg02688643,chr4,140585523
cg02715115,chr4,148605624
cg02735486,chr4,113970935
cg02774439,chr4,174451251
cg02782630,chr4,84406624
cg02827112,chr4,95129403
cg02832245,chr4,122722866
cg02886284,chr4,166300290
cg02936740,chr4,68995995
cg02992596,chr4,155702220
cg03005261,chr4,110480828
cg03017946,chr4,72897281
cg03098643,chr4,187644620
cg03103192,chr4,52917271
cg03163246,chr4,74921023
cg03173722,chr4,71587640
cg03199651,chr4,4862770
cg03201604,chr4,76861293
cg03278643,chr4,5710767
cg03289369,chr4,57253815
cg03354519,chr4,122618501
cg03364781,chr4,113298593
cg03368758,chr4,16900733
cg03371306,chr4,153456039
cg03384938,chr4,105412832
cg03464689,chr4,103422429
cg03469082,chr4,46126448
cg03476195,chr4,113970745
cg03498559,chr4,70361062
cg03499052,chr4,38869262
cg03593419,chr4,46995474
cg03616357,chr4,156297942
cg03717979,chr4,4862184
cg03738331,chr4,3076305
cg03742003,chr4,20255264
cg03782453,chr4,7043935
cg03847636,chr4,7070632
cg03876618,chr4,57976034
cg03916421,chr4,130013461
cg03963654,chr4,141177084
cg03970609,chr4,71337664
cg03990551,chr4,122791477
cg03996822,chr4,74486558
cg04005707,chr4,48988321
cg04086012,chr4,189060900
cg04107037,chr4,94750205
cg04249586,chr4,111119946
cg04263186,chr4,104640489
cg04301614,chr4,37585993
cg04304927,chr4,103266554
cg04325632,chr4,3767073
cg04353483,chr4,26493496
cg04418752,chr4,57301960
cg04418771,chr4,83955829
cg04457051,chr4,141178469
cg04485603,chr4,56376410
cg04517429,chr4,155413618
cg04518155,chr4,170679294
cg04529955,chr4,147442738
cg04536922,chr4,89978566
cg04556854,chr4,123653523
cg04558553,chr4,69960869
cg04559909,chr4,74864725
cg04595835,chr4,85888263
cg04683119,chr4,44679953
cg04700925,chr4,154387160
cg04794887,chr4,1858231
cg04876451,chr4,152682126
cg04912050,chr4,980613
cg04941721,chr4,75230901
cg04961553,chr4,48908469
cg05028306,chr4,17578663
cg05060602,chr4,183838922
cg05078019,chr4,619392
cg05122605,chr4,1283721
cg05134796,chr4,83352783
cg05158538,chr4,23891486
cg05209463,chr4,2935884
cg05287690,chr4,153456344
cg05318777,chr4,122791956
cg05348123,chr4,174321584
cg05350879,chr4,88451223
cg05354432,chr4,109089890
cg05389335,chr4,104641319
cg05396987,chr4,122686269
cg05409601,chr4,78077912
cg05475028,chr4,13629588
cg05507894,chr4,39640920
cg05522383,chr4,111557894
cg05546383,chr4,146095813
cg05562327,chr4,15005910
cg05568762,chr4,18023126
cg05679613,chr4,88754043
cg05745457,chr4,164394816
cg05754631,chr4,144258809
cg05764607,chr4,106630108
cg05774801,chr4,154709756
cg05815906,chr4,140374338
cg05890019,chr4,85886830
cg05927159,chr4,10118984
cg05960024,chr4,56376020
cg05965402,chr4,25235416
cg06039392,chr4,187476953
cg06044899,chr4,91760229
cg06059810,chr4,71587722
cg06100991,chr4,111119437
cg06132694,chr4,118955172
cg06154597,chr4,924812
cg06251489,chr4,26861983
cg06274159,chr4,188916867
cg06292277,chr4,170541163
cg06366981,chr4,175443243
cg06393290,chr4,1004778
cg06399881,chr4,69111391
cg06422693,chr4,48833587
cg06500476,chr4,37584954
cg06518271,chr4,100140325
cg06521761,chr4,186299612
cg06618866,chr4,154605087
cg06649520,chr4,153700671
cg06677140,chr4,4862015
cg06690548,chr4,139162808
cg06771126,chr4,57547699
cg06862062,chr4,8442641
cg06976977,chr4,73935744
cg07027075,chr4,39461721
cg07154408,chr4,120549556
cg07207937,chr4,78783799
cg07209631,chr4,89205728
cg07223164,chr4,109571402
cg07259382,chr4,164536228
cg07285838,chr4,128886005
cg07312445,chr4,40752151
cg07364841,chr4,3444147
cg07376029,chr4,72650992
cg07507271,chr4,1242751
cg07625840,chr4,119274341
cg07651857,chr4,2471025
cg07694025,chr4,154709441
cg07786760,chr4,155412677
cg07790638,chr4,113508575
cg07816074,chr4,8201560
cg07829809,chr4,99957216
cg07867360,chr4,6475156
cg07945480,chr4,2964972
cg07964133,chr4,83296335
cg07973390,chr4,184365087
cg07974125,chr4,57843509
cg07991621,chr4,2820479
cg08046471,chr4,76958126
cg08083689,chr4,8442326
cg08121954,chr4,156825203
cg08132711,chr4,15964743
cg08145625,chr4,118006405
cg08211091,chr4,2061923
cg08319991,chr4,41259283
cg08321272,chr4,41992621
cg08353062,chr4,39529052
cg08377000,chr4,90033921
cg08493463,chr4,185139078
cg08524525,chr4,123653978
cg08541219,chr4,108641287
cg08570521,chr4,166794471
cg08647446,chr4,74486298
cg08649013,chr4,10042198
cg08724517,chr4,156298204
cg08739282,chr4,24586511
cg08815403,chr4,88244142
cg08817120,chr4,41363320
cg08822227,chr4,2820468
cg08924430,chr4,106067052
cg08928646,chr4,68567174
cg08942875,chr4,48908902
cg09001953,chr4,186347682
cg09022993,chr4,52917875
cg09087966,chr4,78079025
cg09088577,chr4,146096074
cg09146695,chr4,109089501
cg09191232,chr4,108642411
cg09423836,chr4,77070069
cg09424308,chr4,7046094
cg09435090,chr4,17513980
cg09459044,chr4,106395029
cg09475757,chr4,178230851
cg09511421,chr4,116034871
cg09526693,chr4,123378308
cg09573795,chr4,4863874
cg09657538,chr4,89445094
cg09688546,chr4,157997363
cg09750385,chr4,156588012
cg09785172,chr4,6271658
cg09816180,chr4,72650088
cg09963123,chr4,38664654
cg10000775,chr4,186456556
cg10063179,chr4,187476326
cg10094443,chr4,39529866
cg10114327,chr4,122301573
cg10149329,chr4,128887145
cg10150813,chr4,25865178
cg10158181,chr4,2965841
cg10182321,chr4,5052393
cg10189763,chr4,71337726
cg10203523,chr4,6711606
cg10217449,chr4,44727930
cg10235817,chr4,3768555
cg10250107,chr4,7940843
cg10307548,chr4,24795830
cg10313093,chr4,56261753
cg10348863,chr4,184425226
cg10375110,chr4,40337443
cg10377451,chr4,140375014
cg10409560,chr4,76481299
cg10481740,chr4,1857103
cg10484485,chr4,154387599
cg10520887,chr4,96470094
cg10525488,chr4,113066439
cg10539507,chr4,85420782
cg10585462,chr4,71091866
cg10640379,chr4,128981918
cg10652277,chr4,41992362
cg10663973,chr4,6642559
cg10685945,chr4,84457822
cg10737625,chr4,76439436
cg10972353,chr4,83719895
cg10976673,chr4,139937474
cg11010122,chr4,100868318
cg11237738,chr4,5527295
cg11243196,chr4,73434856
cg11277230,chr4,87813935
cg11298412,chr4,75858589
cg11354906,chr4,154710371
cg11372831,chr4,57303157
cg11392765,chr4,13546673
cg11395610,chr4,13485238
cg11469321,chr4,104021294
cg11489580,chr4,76598793
cg11595794,chr4,186317094
cg11631275,chr4,76903515
cg11654333,chr4,71859710
cg11659747,chr4,77134585
cg11754095,chr4,156874602
cg11768886,chr4,5052795
cg11843691,chr4,141678312
cg11903057,chr4,40198776
cg11930592,chr4,4861820
cg12062995,chr4,39368212
cg12072001,chr4,1166767
cg12182525,chr4,177190321
cg12194493,chr4,493061
cg12229172,chr4,140587147
cg12294121,chr4,47033575
cg12315997,chr4,39461668
cg12370884,chr4,57301120
cg12435758,chr4,25032141
cg12435792,chr4,619375
cg12489960,chr4,52905025
cg12497851,chr4,6910926
cg12506971,chr4,171011264
cg12532667,chr4,101440020
cg12554857,chr4,95264019
cg12572545,chr4,166248219
cg12647643,chr4,87515184
cg12648583,chr4,175205248
cg12697789,chr4,186990425
cg12717203,chr4,124342
cg12723809,chr4,87813066
cg12733430,chr4,88141939
cg12759554,chr4,89618637
cg12780322,chr4,57334163
cg12793610,chr4,154125637
cg12827188,chr4,155511987
cg12879425,chr4,68424495
cg12914062,chr4,56720202
cg12952136,chr4,71705777
cg12958778,chr4,6912474
cg13002939,chr4,55094499
cg13077930,chr4,74269525
cg13107169,chr4,40098238
cg13132204,chr4,141445677
cg13168683,chr4,6202379
cg13218435,chr4,152682442
cg13219107,chr4,151937234
cg13225039,chr4,1722160
cg13255629,chr4,88752660
cg13262687,chr4,147559579
cg13265789,chr4,96470584
cg13296371,chr4,4250746
cg13378388,chr4,177713813
cg13379236,chr4,110833808
cg13387232,chr4,1387823
cg13450057,chr4,2231660
cg13455369,chr4,13629759
cg13469311,chr4,129209602
cg13515674,chr4,174255654
cg13523386,chr4,71457838
cg13549845,chr4,93225960
cg13643796,chr4,73434209
cg13649728,chr4,128651707
cg13652653,chr4,41937034
cg13726191,chr4,15940033
cg13743031,chr4,178231244
cg13749822,chr4,145566663
cg13750354,chr4,48833095
cg13788062,chr4,113558189
cg13825058,chr4,154266213
cg13843773,chr4,81256811
cg13850625,chr4,159131690
cg13873733,chr4,83352560
cg13918811,chr4,25378308
cg13929970,chr4,15939862
cg13975625,chr4,164264796
cg13979182,chr4,2845120
cg13996731,chr4,149363522
cg14049461,chr4,93224987
cg14056644,chr4,111559105
cg14105047,chr4,95372810
cg14167596,chr4,4862910
cg14189571,chr4,188916943
cg14223995,chr4,141489799
cg14320796,chr4,154265537
cg14377370,chr4,17812264
cg14489884,chr4,6711592
cg14561282,chr4,175839468
cg14580567,chr4,145567271
cg14586939,chr4,156130206
cg14602164,chr4,175205422
cg14694952,chr4,3076907
cg14724265,chr4,76823661
cg14822966,chr4,1714979
cg14838256,chr4,56212685
cg14892066,chr4,183839263
cg14898892,chr4,77356180
cg14972143,chr4,99851003
cg14973995,chr4,2935692
cg14988503,chr4,76555547
cg15010390,chr4,140216957
cg15098690,chr4,142141984
cg15158783,chr4,74847646
cg15171237,chr4,185571958
cg15239703,chr4,169931051
cg15299721,chr4,103997510
cg15305511,chr4,5712676
cg15307169,chr4,3465064
cg15397506,chr4,6675881
cg15401952,chr4,21305805
cg15425280,chr4,158141492
cg15452573,chr4,90758843
cg15601535,chr4,56212295
cg15641998,chr4,88312323
cg15696627,chr4,4861183
cg15750102,chr4,107237686
cg15755084,chr4,4861683
cg15772393,chr4,174292144
cg15792688,chr4,124693
cg15798530,chr4,122855216
cg15810326,chr4,148605127
cg15843217,chr4,699224
cg15918284,chr4,46392657
cg15928132,chr4,26492378
cg15967525,chr4,40517938
cg16072462,chr4,74847758
cg16090392,chr4,87928170
cg16091845,chr4,144434637
cg16092956,chr4,185747098
cg16148403,chr4,25161816
cg16181202,chr4,156875136
cg16220802,chr4,100815812
cg16225753,chr4,120988337
cg16243646,chr4,110651822
cg16249454,chr4,74965075
cg16264526,chr4,148401273
cg16267491,chr4,100871315
cg16358826,chr4,46996264
cg16411152,chr4,175839604
cg16413535,chr4,164395149
cg16414852,chr4,70626128
cg16418329,chr4,71200751
cg16420530,chr4,184426759
cg16474684,chr4,2470049
cg16525761,chr4,109541525
cg16625216,chr4,926338
cg16636571,chr4,144939574
cg16708623,chr4,154125208
cg16718094,chr4,174291993
cg16744741,chr4,82126025
cg16746737,chr4,103790299
cg16854524,chr4,83931902
cg17010112,chr4,77227123
cg17084361,chr4,85503668
cg17177660,chr4,177714456
cg17183546,chr4,4387879
cg17214107,chr4,123747542
cg17241657,chr4,113152573
cg17280624,chr4,129208725
cg17286640,chr4,55991202
cg17341358,chr4,78784105
cg17366294,chr4,99064904
cg17465827,chr4,148538229
cg17499294,chr4,99955894
cg17592292,chr4,967094
cg17709884,chr4,100872167
cg17714799,chr4,110625080
cg17725968,chr4,96761026
cg17738194,chr4,80329388
cg17757055,chr4,75858107
cg17783509,chr4,41751001
cg17815841,chr4,39979368
cg17853587,chr4,118954386
cg17854440,chr4,111397581
cg17952262,chr4,683240
cg17960516,chr4,3465004
cg18003698,chr4,68622520
cg18016365,chr4,47033634
cg18023724,chr4,164088493
cg18059088,chr4,11430353
cg18081881,chr4,37828048
cg18130069,chr4,3315422
cg18164599,chr4,175443867
cg18176712,chr4,671489
cg18277508,chr4,103266345
cg18344745,chr4,157997079
cg18397653,chr4,88571653
cg18420965,chr4,66535145
cg18438777,chr4,164265745
cg18443378,chr4,176986950
cg18474934,chr4,122853965
cg18489440,chr4,25863689
cg18579447,chr4,100815442
cg18619267,chr4,7940375
cg18638496,chr4,81187198
cg18695917,chr4,163085342
cg18815539,chr4,25162020
cg18821742,chr4,30722274
cg18876189,chr4,155483083
cg18953280,chr4,26585505
cg18972811,chr4,20254736
cg19000186,chr4,47956011
cg19029454,chr4,26321352
cg19037167,chr4,154606177
cg19128498,chr4,15656874
cg19208897,chr4,1723620
cg19224164,chr4,2966384
cg19252175,chr4,169240076
cg19255783,chr4,84035953
cg19255853,chr4,6675611
cg19308222,chr4,75230391
cg19324172,chr4,159644759
cg19339841,chr4,104119196
cg19398783,chr4,38784578
cg19408398,chr4,54243328
cg19419801,chr4,25235712
cg19428336,chr4,187645448
cg19459675,chr4,166249239
cg19466563,chr4,88450506
cg19534879,chr4,105412299
cg19553056,chr4,142142166
cg19639622,chr4,176923800
cg19712821,chr4,15965016
cg19763279,chr4,84256190
cg19786920,chr4,40751770
cg19843036,chr4,159131516
cg19850370,chr4,72205104
cg19906926,chr4,39045816
cg19968631,chr4,175750792
cg19987840,chr4,123844099
cg20073553,chr4,13545291
cg20119015,chr4,36245632
cg20140452,chr4,149363715
cg20161179,chr4,4863282
cg20163033,chr4,2627194
cg20203792,chr4,20701925
cg20261167,chr4,88896942
cg20305610,chr4,95373302
cg20334738,chr4,151502939
cg20391984,chr4,114683822
cg20430816,chr4,77228354
cg20484352,chr4,38869779
cg20530223,chr4,39047037
cg20544605,chr4,186877497
cg20573242,chr4,122745356
cg20576510,chr4,16077324
cg20588069,chr4,4860439
cg20695587,chr4,68995759
cg20713333,chr4,100484892
cg20716945,chr4,144106096
cg20743744,chr4,1243849
cg20773127,chr4,111397155
cg20811273,chr4,185570979
cg20830531,chr4,123844416
cg20850582,chr4,151936449
cg20891301,chr4,4864711
cg20937139,chr4,157892758
cg20947775,chr4,83720240
cg20950277,chr4,122085241
cg20981615,chr4,48136280
cg21092324,chr4,90816310
cg21094669,chr4,175750109
cg21200703,chr4,25657628
cg21208104,chr4,119273361
cg21210758,chr4,5713005
cg21219744,chr4,44680344
cg21224049,chr4,668623
cg21230392,chr4,16077697
cg21246783,chr4,141348699
cg21269934,chr4,2060219
cg21270015,chr4,113567813
cg21279601,chr4,9782931
cg21298523,chr4,88343936
cg21429500,chr4,17579272
cg21505886,chr4,1724428
cg21548788,chr4,77997565
cg21549904,chr4,174090558
cg21614638,chr4,100737821
cg21618713,chr4,153701330
cg21686523,chr4,106629581
cg21688707,chr4,83350844
cg21713257,chr4,159593619
cg21750545,chr4,52709356
cg21774863,chr4,13486498
cg21800088,chr4,57844931
cg21818252,chr4,110354354
cg21820677,chr4,46392528
cg21837443,chr4,110481957
cg21880903,chr4,39408665
cg21905630,chr4,54965904
cg21911019,chr4,8581650
cg22064942,chr4,110355472
cg22158956,chr4,39529514
cg22161476,chr4,163085081
cg22177707,chr4,130014893
cg22182945,chr4,71200583
cg22194305,chr4,2264032
cg22252999,chr4,76996414
cg22266967,chr4,6695698
cg22283148,chr4,147097443
cg22315542,chr4,18024261
cg22362636,chr4,2758447
cg22416721,chr4,88570574
cg22428102,chr4,184020710
cg22461018,chr4,174538011
cg22476251,chr4,76823701
cg22495162,chr4,147096787
cg22496254,chr4,17811165
cg22496683,chr4,155702610
cg22524267,chr4,4543474
cg22541143,chr4,84377292
cg22606062,chr4,77996244
cg22609784,chr4,4863678
cg22670329,chr4,74702075
cg22680204,chr4,5895098
cg22681784,chr4,57687546
cg22722822,chr4,54931066
cg22736323,chr4,55095529
cg22764341,chr4,47487088
cg22774012,chr4,84376821
cg22821324,chr4,176923439
cg22845362,chr4,25378974
cg22960952,chr4,76481169
cg22980079,chr4,2627118
cg23055159,chr4,47465899
cg23092072,chr4,87927706
cg23097681,chr4,86396174
cg23234154,chr4,103682690
cg23239039,chr4,4389115
cg23266266,chr4,52708709
cg23303074,chr4,155665625
cg23322316,chr4,177116929
cg23337382,chr4,22517965
cg23408913,chr4,77870882
cg23435440,chr4,17811362
cg23478284,chr4,87516007
cg23479658,chr4,39460910
cg23587449,chr4,155663689
cg23595927,chr4,671851
cg23621817,chr4,40337853
cg23855121,chr4,38784938
cg23896056,chr4,83932170
cg23910835,chr4,154710900
cg23970089,chr4,667564
cg24105933,chr4,8270795
cg24207176,chr4,89079587
cg24208172,chr4,85504879
cg24219058,chr4,30721353
cg24329794,chr4,71704884
cg24352530,chr4,89080423
cg24362726,chr4,130013618
cg24399106,chr4,183065224
cg24432073,chr4,76555634
cg24529858,chr4,187186949
cg24693909,chr4,100484573
cg24697682,chr4,186064225
cg24715245,chr4,41258794
cg24719575,chr4,57773768
cg24719601,chr4,41750466
cg24748786,chr4,72203501
cg24818418,chr4,110834590
cg24829483,chr4,15341641
cg24840099,chr4,4864430
cg24974477,chr4,110650657
cg24999727,chr4,88243818
cg25023994,chr4,102711773
cg25084525,chr4,48019347
cg25086702,chr4,174255559
cg25093045,chr4,5990638
cg25095380,chr4,121843207
cg25148589,chr4,158141936
cg25177139,chr4,87770089
cg25194415,chr4,6784170
cg25201363,chr4,3534845
cg25255854,chr4,185396298
cg25309588,chr4,42659645
cg25323711,chr4,141349096
cg25351036,chr4,48018582
cg25370441,chr4,106473233
cg25421002,chr4,146559547
cg25424525,chr4,146096030
cg25432696,chr4,74702728
cg25484904,chr4,48988015
cg25490411,chr4,103681941
cg25522312,chr4,120988417
cg25546588,chr4,142557391
cg25554036,chr4,6271136
cg25583174,chr4,123748386
cg25608041,chr4,37891834
cg25769980,chr4,38830902
cg25841987,chr4,159093841
cg25848060,chr4,1713374
cg25860314,chr4,119757220
cg25892041,chr4,115544155
cg25903375,chr4,140476877
cg25945961,chr4,140477705
cg25969212,chr4,122722590
cg26018901,chr4,47840011
cg26043257,chr4,15780238
cg26071978,chr4,84457011
cg26112353,chr4,79696708
cg26125600,chr4,74718978
cg26171231,chr4,170542171
cg26215428,chr4,88928251
cg26226968,chr4,95129010
cg26303908,chr4,44728763
cg26359204,chr4,85419877
cg26365668,chr4,84375973
cg26406994,chr4,99182798
cg26409237,chr4,10041000
cg26426582,chr4,165953193
cg26538349,chr4,169239850
cg26578617,chr4,90757533
cg26583078,chr4,186877778
cg26647453,chr4,100432162
cg26656113,chr4,72897613
cg26689483,chr4,17513197
cg26701826,chr4,108814604
cg26745540,chr4,164253876
cg26866325,chr4,74920559
cg27019278,chr4,101438804
cg27063986,chr4,116035232
cg27126442,chr4,106473806
cg27154163,chr4,55523756
cg27196467,chr4,21305490
cg27219973,chr4,68622191
cg27313662,chr4,106395321
cg27406727,chr4,39529516
cg27413543,chr4,83812148
cg27417997,chr4,77356416
cg27427207,chr4,42658610
cg27433088,chr4,174089019
cg27504805,chr4,156129725
cg27563778,chr4,100432266
cg27583030,chr4,186064515
cg00066816,chr5,158758353
cg00076645,chr5,171711562
cg00145118,chr5,141393931
cg00156744,chr5,171615663
cg00213331,chr5,138463463
cg00243313,chr5,1883413
cg00273124,chr5,177581512
cg00298357,chr5,148758791
cg00405677,chr5,153858102
cg00415993,chr5,75919188
cg00483154,chr5,176943504
cg00489401,chr5,180075875
cg00567749,chr5,82767908
cg00581156,chr5,61699416
cg00645922,chr5,114962179
cg00672638,chr5,142149399
cg00751288,chr5,130506785
cg00849368,chr5,94890411
cg00854995,chr5,133512930
cg00916199,chr5,140019287
cg00930194,chr5,177423598
cg00943245,chr5,140867386
cg00943950,chr5,133706921
cg01037108,chr5,137911220
cg01058368,chr5,24645487
cg01064957,chr5,122110867
cg01091448,chr5,34008127
cg01112778,chr5,146460987
cg01116966,chr5,133450017
cg01146980,chr5,34930244
cg01222684,chr5,159435961
cg01236137,chr5,32585526
cg01240931,chr5,112074043
cg01278291,chr5,176937363
cg01282074,chr5,172662328
cg01301664,chr5,52775805
cg01305625,chr5,131593812
cg01348086,chr5,176785296
cg01422136,chr5,132362224
cg01429321,chr5,121413797
cg01439669,chr5,73936053
cg01491225,chr5,80597551
cg01495509,chr5,169816378
cg01512854,chr5,140480967
cg01546430,chr5,156607836
cg01550148,chr5,134735544
cg01567482,chr5,176784318
cg01593190,chr5,178772793
cg01599709,chr5,139725677
cg01657408,chr5,158634989
cg01678321,chr5,150683530
cg01684579,chr5,175816834
cg01692815,chr5,77591420
cg01794265,chr5,14582549
cg01796228,chr5,38596220
cg01824804,chr5,121413478
cg01939681,chr5,160975024
cg01965939,chr5,148442694
cg02001410,chr5,71403045
cg02017109,chr5,76788595
cg02064402,chr5,1225719
cg02065387,chr5,161274307
cg02141675,chr5,153569408
cg02153871,chr5,140070879
cg02162412,chr5,74632926
cg02196805,chr5,131409637
cg02215538,chr5,139782041
cg02216250,chr5,68788173
cg02227605,chr5,10441490
cg02233558,chr5,127418922
cg02257405,chr5,131346985
cg02276665,chr5,138088442
cg02320454,chr5,94956017
cg02352653,chr5,135469115
cg02357714,chr5,176936563
cg02367472,chr5,159845898
cg02376163,chr5,147763224
cg02387679,chr5,75699865
cg02548238,chr5,121413050
cg02577849,chr5,64777678
cg02588309,chr5,40756462
cg02616808,chr5,176236654
cg02631957,chr5,122847966
cg02641095,chr5,157170413
cg02693857,chr5,176738937
cg02725014,chr5,78809520
cg02729303,chr5,16508920
cg02748539,chr5,524269
cg02770814,chr5,137368293
cg02780295,chr5,140855463
cg02822723,chr5,893431
cg02865818,chr5,167719214
cg02899723,chr5,55033614
cg02976617,chr5,102898463
cg02995853,chr5,139944272
cg03014628,chr5,57879001
cg03032025,chr5,173316748
cg03077492,chr5,43413095
cg03132911,chr5,75698732
cg03138091,chr5,38846540
cg03197524,chr5,150460989
cg03294619,chr5,172661803
cg03328750,chr5,142150401
cg03332113,chr5,34656078
cg03349953,chr5,140515207
cg03355526,chr5,178368415
cg03400060,chr5,78365801
cg03503295,chr5,13944491
cg03504078,chr5,140480218
cg03504701,chr5,19980857
cg03513163,chr5,140431149
cg03529436,chr5,139554541
cg03536787,chr5,176561447
cg03550002,chr5,94890897
cg03558807,chr5,111495981
cg03663215,chr5,7396491
cg03663715,chr5,72744904
cg03702236,chr5,9546755
cg03723845,chr5,180326186
cg03775246,chr5,111095049
cg03780733,chr5,140552369
cg03811411,chr5,155753616
cg03852144,chr5,95159639
cg03905094,chr5,59996421
cg03909500,chr5,33936597
cg03914397,chr5,151784441
cg03934354,chr5,34043140
cg03975345,chr5,93954303
cg03992230,chr5,179050530
cg04060275,chr5,172198791
cg04084172,chr5,162864824
cg04182865,chr5,141346431
cg04293726,chr5,143550303
cg04312209,chr5,35857130
cg04380513,chr5,100238983
cg04401436,chr5,55007918
cg04431054,chr5,126853024
cg04435420,chr5,155754009
cg04443324,chr5,150948306
cg04488521,chr5,178487716
cg04502814,chr5,42811952
cg04525496,chr5,82767526
cg04527989,chr5,71614752
cg04569804,chr5,149493814
cg04705866,chr5,54320790
cg04730731,chr5,154317555
cg04741133,chr5,43042726
cg04797496,chr5,141339086
cg04833050,chr5,77806051
cg04856203,chr5,118407258
cg04883450,chr5,61699957
cg04897683,chr5,134871462
cg04915182,chr5,179635731
cg04956382,chr5,137203640
cg05001145,chr5,95297731
cg05026186,chr5,148520876
cg05028467,chr5,176057097
cg05056120,chr5,158527702
cg05071677,chr5,180581950
cg05229898,chr5,137801343
cg05284582,chr5,138775061
cg05365670,chr5,1524551
cg05382565,chr5,149380781
cg05389183,chr5,122372942
cg05497107,chr5,178978234
cg05512756,chr5,35991735
cg05577173,chr5,78908678
cg05602212,chr5,79703393
cg05705366,chr5,53813915
cg05705583,chr5,134073432
cg05822100,chr5,31194410
cg05839235,chr5,32712237
cg05869964,chr5,111095756
cg05886367,chr5,180467233
cg05898102,chr5,140571959
cg05915281,chr5,131826479
cg06005644,chr5,138940959
cg06118312,chr5,54398555
cg06189653,chr5,176873332
cg06200339,chr5,157079404
cg06213287,chr5,96478495
cg06221259,chr5,137774471
cg06225581,chr5,140080094
cg06252849,chr5,76326040
cg06284322,chr5,140700662
cg06296021,chr5,133702588
cg06302803,chr5,138609953
cg06327515,chr5,140603261
cg06339657,chr5,76505932
cg06434428,chr5,83016630
cg06465021,chr5,127418547
cg06501790,chr5,176811257
cg06597095,chr5,43480361
cg06609475,chr5,1801142
cg06619299,chr5,177615005
cg06625767,chr5,176836695
cg06638012,chr5,132299861
cg06665799,chr5,177019313
cg06720424,chr5,176433271
cg06746171,chr5,151138551
cg06768707,chr5,140556503
cg06822995,chr5,110559431
cg06894812,chr5,112630225
cg06899802,chr5,148931087
cg06899976,chr5,140430962
cg06940792,chr5,126626557
cg06994793,chr5,140018911
cg07035740,chr5,176057740
cg07051140,chr5,177659229
cg07086380,chr5,118691033
cg07102705,chr5,148033896
cg07103493,chr5,128301232
cg07155664,chr5,149829590
cg07172256,chr5,65220910
cg07233761,chr5,54281437
cg07263984,chr5,115177777
cg07440414,chr5,133451021
cg07444907,chr5,158690182
cg07465864,chr5,112849162
cg07499072,chr5,52776694
cg07526021,chr5,79950611
cg07592353,chr5,161113339
cg07611177,chr5,110074217
cg07644368,chr5,115152785
cg07655627,chr5,102898729
cg07663789,chr5,32711429
cg07697078,chr5,139682675
cg07707227,chr5,54469532
cg07715201,chr5,37840839
cg07730329,chr5,140810137
cg07733031,chr5,65018600
cg07810967,chr5,131993925
cg07816439,chr5,159797845
cg07817783,chr5,10761669
cg07862358,chr5,16935888
cg07874155,chr5,138089656
cg07899016,chr5,140588299
cg07927484,chr5,153826296
cg07933176,chr5,148737252
cg07948472,chr5,95018471
cg08017606,chr5,145316274
cg08100497,chr5,139422525
cg08103676,chr5,10354563
cg08212685,chr5,81268071
cg08223748,chr5,88179260
cg08233173,chr5,172410692
cg08241785,chr5,75919281
cg08244028,chr5,79949339
cg08283293,chr5,175964814
cg08307039,chr5,64920116
cg08317263,chr5,150603169
cg08331313,chr5,151066460
cg08367838,chr5,143549786
cg08422599,chr5,169931092
cg08452348,chr5,134303703
cg08514736,chr5,54529368
cg08519865,chr5,156569391
cg08548086,chr5,73980929
cg08587542,chr5,141303900
cg08590939,chr5,41869963
cg08603768,chr5,137420044
cg08680102,chr5,148725324
cg08704509,chr5,125758809
cg08724474,chr5,150827012
cg08771731,chr5,17216434
cg08816023,chr5,142065539
cg08902132,chr5,137879323
cg08918431,chr5,139781174
cg08935243,chr5,89705635
cg08948050,chr5,139943173
cg08983975,chr5,149737654
cg08987989,chr5,114598846
cg09000112,chr5,107007565
cg09038885,chr5,159343148
cg09079275,chr5,157003083
cg09079593,chr5,180632555
cg09147213,chr5,78810602
cg09176995,chr5,68389849
cg09179845,chr5,40909532
cg09189322,chr5,145827172
cg09230732,chr5,54603874
cg09238598,chr5,14871908
cg09244244,chr5,94891907
cg09262269,chr5,121412429
cg09282744,chr5,177580924
cg09298289,chr5,68485754
cg09299307,chr5,86709023
cg09312149,chr5,114516420
cg09339527,chr5,178322752
cg09350274,chr5,137610396
cg09351859,chr5,49962613
cg09453312,chr5,156608118
cg09486093,chr5,118787966
cg09507928,chr5,140027484
cg09513026,chr5,137419242
cg09523691,chr5,115178810
cg09545860,chr5,153825063
cg09564133,chr5,176738847
cg09572106,chr5,176924899
cg09573435,chr5,115910259
cg09576882,chr5,6714987
cg09588653,chr5,149569276
cg09593402,chr5,96270297
cg09632585,chr5,43125540
cg09671005,chr5,102594958
cg09693433,chr5,133702574
cg09712066,chr5,59783629
